¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					The House of Julii
{EMT_YOUR_FORCES_ATTACK_NAVY_SCIRIA_01}		Your forces attack a navy of Sciri
{EMT_YOUR_FORCES_AMBUSH_ARMY_SCIRIA_01}		Your forces ambush an army of Sciri
{EMT_YOUR_FORCES_ATTACKED_ARMY_SCIRIA_01}	Your forces are attacked by an army of Sciri
{EMT_YOUR_FORCES_ATTACKED_NAVY_SCIRIA_01}	Your forces are attacked by a navy of Sciri
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SCIRIA_01}	Your forces are ambushed by an army of Sciri

{EMT_VICTORY_SCIRIA_01}				The Sciri are victorious

{EMT_VICTORY_DESCR_SCIRIA_01}		You have lead the brave Sciri people out of their dark forests and into the sunlit lands of victory! The world is yours, and all lesser peoples cower in fear at the approach of your armies. This is victory - for a barbarian people! 
{EMT_DEFEATED_BY_SCIRIA_01}		Defeat is your only reward! The gods have obviously turned their backs on your efforts. The Scirians - a mad people from the darkest of backwoods, after all - have achieved victory over all their foes! A black day!
{EMT_SHORT_VICTORY_SCIRIA_01}		Victory has come to the Sciri, thanks to your inspiring war leadership! Our warriors hold many lands!

{SCIRIA_01_DESCR}			Sciria\nClose-combat infantry, great cavalry, and late-game siege capabilities!


{MAURYANS}						The Maurya Empire
{EMT_MAURYANS_SPY}				Mauryan Spy
{EMT_MAURYANS_ASSASSIN}				Mauryan Assassin
{EMT_MAURYANS_DIPLOMAT}				Mauryan Diplomat
{EMT_MAURYANS_ADMIRAL}				Mauryan Navy
{EMT_MAURYANS_GENERAL}				Mauryan Army
{EMT_MAURYANS_NAMED_CHARACTER}			Mauryan Family Member
{EMT_MAURYANS_MERCHANT}				Mauryan Merchant
{EMT_MAURYANS_VILLAGE}				Mauryan Village
{EMT_MAURYANS_TOWN}				Mauryan Town
{EMT_MAURYANS_LARGE_TOWN}			Mauryan Large Town
{EMT_MAURYANS_CITY}				Mauryan City
{EMT_MAURYANS_LARGE_CITY}			Mauryan Large City
{EMT_MAURYANS_HUGE_CITY}			Mauryan Huge City
{EMT_MAURYANS_CAPITAL}				Mauryan Capital
{EMT_MAURYANS_FORT}				Mauryan Fort
{EMT_MAURYANS_PORT}				Mauryan Port
{EMT_MAURYANS_DOCK}				Mauryan Docks
{EMT_MAURYANS_FISHING_VILLAGE}			Mauryan Fishing Village
{EMT_MAURYANS_FACTION_LEADER}			Mauryan Faction Leader
{EMT_MAURYANS_FACTION_HEIR}			Mauryan Faction Heir

{EMT_YOUR_FORCES_ATTACK_ARMY_MAURYANS}		Your forces attack an army of the Maurya Empire
{EMT_YOUR_FORCES_ATTACK_NAVY_MAURYANS}		Your forces attack a navy of the Maurya Empire
{EMT_YOUR_FORCES_AMBUSH_ARMY_MAURYANS}		Your forces ambush an army of the Maurya Empire
{EMT_YOUR_FORCES_ATTACKED_ARMY_MAURYANS}	Your forces are attacked by an army of the Maurya Empire
{EMT_YOUR_FORCES_ATTACKED_NAVY_MAURYANS}	Your forces are attacked by a navy of the Maurya Empire
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MAURYANS}	Your forces are ambushed by an army of the Maurya Empire

{EMT_VICTORY_MAURYANS}				The Mauryans are victorious

{EMT_VICTORY_DESCR_MAURYANS}		Victory is yours! All your foes have faded into the shadows or been turned to dust by the desert winds. Maharajas as yet unborn will take your name in recognition of your achievement in leading the Indians to such greatness!
{EMT_DEFEATED_BY_MAURYANS}		The Maharaj and his slavish followers have snatched victory from you. This is a dark day, that such a group of madmen should have taken such power!
{EMT_SHORT_VICTORY_MAURYANS}		Any Maharaj would be pleased to celebrate a such a victory. The lands of Maurya are broad and many. This is a day to enjoy: a day of victory under your leadership!

{MAURYANS_DESCR}			Mauryans\nSpearmen and foot archers along with swift cavalry and chariots - and elephants!

{MASSILIA_01}						Massilia
{EMT_MASSILIA_01_SPY}				Massilian Spy
{EMT_MASSILIA_01_ASSASSIN}				Massilian Assassin
{EMT_MASSILIA_01_DIPLOMAT}				Massilian Diplomat
{EMT_MASSILIA_01_ADMIRAL}				Massilian Navy
{EMT_MASSILIA_01_GENERAL}				Massilian Army
{EMT_MASSILIA_01_NAMED_CHARACTER}			Massilian Family Member
{EMT_MASSILIA_01_MERCHANT}				Massilian Merchant
{EMT_MASSILIA_01_VILLAGE}				Massilian Village
{EMT_MASSILIA_01_TOWN}				Massilian Town
{EMT_MASSILIA_01_LARGE_TOWN}			Massilian Large Town
{EMT_MASSILIA_01_CITY}				Massilian City
{EMT_MASSILIA_01_LARGE_CITY}			Massilian Large City
{EMT_MASSILIA_01_HUGE_CITY}			Massilian Huge City
{EMT_MASSILIA_01_CAPITAL}				Massilian Capital
{EMT_MASSILIA_01_FORT}				Massilian Fort
{EMT_MASSILIA_01_PORT}				Massilian Port
{EMT_MASSILIA_01_DOCK}				Massilian Docks
{EMT_MASSILIA_01_FISHING_VILLAGE}			Massilian Fishing Village
{EMT_MASSILIA_01_FACTION_LEADER}			Massilian Faction Leader
{EMT_MASSILIA_01_FACTION_HEIR}			Massilian Faction Heir

{EMT_YOUR_FORCES_ATTACK_ARMY_MASSILIA_01}		Your forces attack an army of Massilia
{EMT_YOUR_FORCES_ATTACK_NAVY_MASSILIA_01}		Your forces attack a navy of Massilia
{EMT_YOUR_FORCES_AMBUSH_ARMY_MASSILIA_01}		Your forces ambush an army of Massilia
{EMT_YOUR_FORCES_ATTACKED_ARMY_MASSILIA_01}	    Your forces are attacked by an army of Massilia
{EMT_YOUR_FORCES_ATTACKED_NAVY_MASSILIA_01}	    Your forces are attacked by a navy of Massilia
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MASSILIA_01}	    Your forces are ambushed by an army of Massilia


{EMT_VICTORY_MASSILIA_01}				The Massalians are victorious

{EMT_VICTORY_DESCR_MASSILIA_01}		Civilization has been spread to every corner of the world! Greeks rule wisely and well across many lands, and this is victory! Better still, it is a victory achieved under your intelligent and diligent leadership! Truly the gods of Olympus have blessed you with miraculous powers of command!
{EMT_DEFEATED_BY_MASSILIA_01}		Victory has been claimed by the Massalians, of all people! This is a dark day, when over-nice and perfumed fops who pretend to be civilized claim victory in your place. Defeat, however, need not be the final verdict...
{EMT_SHORT_VICTORY_MASSILIA_01}		The gods have smiled on your work, and victory is yours!

{MASSILIA_01_DESCR}			Massilians\nHoplite phalanxes and missile support but limited cavalry choice


{QIN_01}						Qin
{EMT_QIN_01_SPY}				Qin Spy
{EMT_QIN_01_ASSASSIN}				Qin Assassin
{EMT_QIN_01_DIPLOMAT}				Qin Diplomat
{EMT_QIN_01_ADMIRAL}				Qin Navy
{EMT_QIN_01_GENERAL}				Qin Army
{EMT_QIN_01_NAMED_CHARACTER}			Qin Family Member
{EMT_QIN_01_MERCHANT}				Qin Merchant
{EMT_QIN_01_VILLAGE}				Qin Village
{EMT_QIN_01_TOWN}				Qin Town
{EMT_QIN_01_LARGE_TOWN}			Qin Large Town
{EMT_QIN_01_CITY}				Qin City
{EMT_QIN_01_LARGE_CITY}			Qin Large City
{EMT_QIN_01_HUGE_CITY}			Qin Huge City
{EMT_QIN_01_CAPITAL}				Qin Capital
{EMT_QIN_01_FORT}				Qin Fort
{EMT_QIN_01_PORT}				Qin Port
{EMT_QIN_01_DOCK}				Qin Docks
{EMT_QIN_01_FISHING_VILLAGE}			Qin Fishing Village
{EMT_QIN_01_FACTION_LEADER}			Qin Faction Leader
{EMT_QIN_01_FACTION_HEIR}			Qin Faction Heir

{EMT_YOUR_FORCES_ATTACK_ARMY_QIN_01}		Your forces attack an army of Qin
{EMT_YOUR_FORCES_ATTACK_NAVY_QIN_01}		Your forces attack a navy of Qin
{EMT_YOUR_FORCES_AMBUSH_ARMY_QIN_01}		Your forces ambush an army of Qin
{EMT_YOUR_FORCES_ATTACKED_ARMY_QIN_01}	    Your forces are attacked by an army of Qin
{EMT_YOUR_FORCES_ATTACKED_NAVY_QIN_01}	    Your forces are attacked by a navy of Qin
{EMT_YOUR_FORCES_AMBUSHED_ARMY_QIN_01}	    Your forces are ambushed by an army of Qin

{EMT_VICTORY_QIN_01}				The Qin are victorious

{EMT_VICTORY_DESCR_QIN_01}		The State of Qin has achieved what generations of rulers could only dream of. Through discipline, reform, and relentless conquest, the western kingdom has subdued its rivals and brought the lands of China under a single authority. The armies of Qin marched farther than any before them, crushing resistance from the eastern states and imposing order where once there had been endless war.\n\nThe old kingdoms of Han, Wei, Zhao, Chu, Yan, and Qi have fallen, their banners lowered before the might of Qin. Roads now connect distant provinces, laws are enforced throughout the realm, and the authority of the ruler extends from the mountains of the west to the shores of the eastern seas. The chaos of the Warring States has ended, replaced by unity under a single dynasty.\n\nYet victory brings new responsibilities. Vast territories, diverse peoples, and ambitious officials must now be governed and controlled. If the achievements of Qin are to endure, strength must be balanced with wisdom, and authority with stability. The age of division has passed. The age of Qin has begun.

{EMT_DEFEATED_BY_QIN_01}		The Qin have accomplished the impossible. The western kingdom once regarded as a distant frontier state has conquered the great powers of China and united the realm beneath its banner. Through superior organization, harsh discipline, and relentless military campaigns, Qin armies shattered every coalition formed against them and brought an end to centuries of conflict.\n\nThe old order has collapsed. Ancient kingdoms have been absorbed into a centralized empire governed by Qin laws and Qin officials. Resistance has proven futile, and the authority of the Qin ruler now extends across all under Heaven. A new era has dawned, forged by the sword and secured through uncompromising strength.

{EMT_SHORT_VICTORY_QIN_01}		The rival kingdoms have been conquered and China stands united beneath the banner of Qin. The Warring States era has ended, and a new empire rules all under Heaven.

{QIN_01_DESCR}			Qin\nA highly centralized and disciplined state possessing exceptional infantry, powerful crossbow units, strong economic development, and unmatched administrative efficiency. Qin armies excel in sustained warfare and territorial expansion, though their rigid methods and aggressive ambitions often place them at odds with neighboring states.

